Region,Month,Year,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21
1/15/1998,1,1998,438.96,357.12,252.96,260.4,394.32,178.56,208.32,193.44,156.24,141.36,186,186,141.36,66.96,74.4,126.48,111.6,81.84,44.64,44.64,52.08
2/15/1998,2,1998,530.88,497.28,456.96,383.04,477.12,322.56,302.4,295.68,275.52,235.2,262.08,241.92,215.04,168,161.28,194.88,181.44,168,174.72,147.84,194.88
3/15/1998,3,1998,200.88,148.8,96.72,81.84,119.04,52.08,66.96,81.84,52.08,81.84,96.72,111.6,111.6,89.28,96.72,111.6,111.6,96.72,74.4,81.84,81.84
4/15/1998,4,1998,108,100.8,86.4,86.4,122.4,57.6,72,64.8,50.4,43.2,57.6,57.6,50.4,28.8,43.2,64.8,72,57.6,28.8,28.8,36
5/15/1998,5,1998,208.32,178.56,133.92,126.48,163.68,96.72,111.6,104.16,89.28,74.4,89.28,81.84,74.4,59.52,59.52,66.96,59.52,59.52,66.96,59.52,59.52
6/15/1998,6,1998,50.4,43.2,21.6,14.4,21.6,0,7.2,7.2,0,7.2,14.4,14.4,21.6,21.6,28.8,43.2,43.2,36,14.4,21.6,14.4
7/15/1998,7,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/1998,8,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/1998,9,1998,7.2,7.2,7.2,7.2,7.2,7.2,14.4,14.4,7.2,0,7.2,7.2,7.2,0,7.2,14.4,14.4,14.4,7.2,7.2,14.4
10/15/1998,10,1998,52.08,44.64,37.2,29.76,37.2,22.32,22.32,22.32,22.32,14.88,22.32,14.88,14.88,7.44,7.44,7.44,7.44,14.88,7.44,14.88,7.44
11/15/1998,11,1998,280.8,208.8,136.8,136.8,208.8,93.6,108,93.6,72,50.4,72,64.8,50.4,28.8,28.8,36,36,28.8,21.6,21.6,28.8
12/15/1998,12,1998,89.28,81.84,59.52,59.52,96.72,37.2,44.64,44.64,29.76,22.32,37.2,29.76,29.76,14.88,14.88,22.32,22.32,22.32,22.32,22.32,29.76
1/15/1999,1,1999,133.92,104.16,74.4,89.28,141.36,66.96,81.84,104.16,74.4,81.84,111.6,104.16,89.28,52.08,81.84,104.16,104.16,96.72,81.84,89.28,89.28
2/15/1999,2,1999,268.8,228.48,181.44,174.72,248.64,134.4,147.84,141.12,107.52,73.92,120.96,100.8,67.2,20.16,20.16,47.04,40.32,26.88,6.72,13.44,13.44
3/15/1999,3,1999,119.04,104.16,89.28,66.96,89.28,52.08,44.64,44.64,44.64,37.2,37.2,37.2,22.32,22.32,22.32,22.32,22.32,22.32,29.76,22.32,29.76
4/15/1999,4,1999,64.8,57.6,50.4,43.2,57.6,36,36,43.2,28.8,36,43.2,36,36,28.8,28.8,43.2,43.2,36,21.6,21.6,28.8
5/15/1999,5,1999,0,0,0,7.44,14.88,0,7.44,7.44,0,0,7.44,7.44,0,0,0,0,0,0,0,0,0
6/15/1999,6,1999,14.4,14.4,14.4,7.2,14.4,0,0,0,0,0,0,0,0,0,0,7.2,7.2,0,0,0,0
7/15/1999,7,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/1999,8,1999,7.44,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/1999,9,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,7.2,7.2,7.2
10/15/1999,10,1999,44.64,37.2,22.32,14.88,37.2,7.44,7.44,7.44,7.44,0,7.44,0,0,0,0,0,0,0,0,0,0
11/15/1999,11,1999,151.2,129.6,93.6,86.4,122.4,57.6,64.8,64.8,50.4,36,50.4,43.2,28.8,14.4,14.4,28.8,21.6,14.4,7.2,7.2,14.4
12/15/1999,12,1999,44.64,44.64,29.76,22.32,44.64,14.88,14.88,14.88,7.44,7.44,7.44,0,0,7.44,0,0,0,0,7.44,7.44,14.88
1/15/2000,1,2000,252.96,215.76,163.68,178.56,238.08,148.8,178.56,186,141.36,119.04,163.68,148.8,119.04,59.52,59.52,111.6,104.16,66.96,29.76,37.2,37.2
2/15/2000,2,2000,354.96,292.32,236.64,278.4,368.88,229.68,250.56,229.68,187.92,146.16,201.84,194.88,160.08,76.56,97.44,167.04,160.08,111.36,55.68,55.68,69.6
3/15/2000,3,2000,104.16,89.28,74.4,74.4,111.6,44.64,52.08,44.64,37.2,29.76,29.76,29.76,29.76,22.32,29.76,37.2,37.2,44.64,29.76,29.76,37.2
4/15/2000,4,2000,108,86.4,64.8,57.6,86.4,36,43.2,43.2,28.8,36,43.2,50.4,43.2,28.8,28.8,43.2,43.2,36,21.6,21.6,28.8
5/15/2000,5,2000,37.2,44.64,44.64,37.2,44.64,29.76,37.2,37.2,22.32,14.88,29.76,29.76,14.88,7.44,7.44,14.88,14.88,7.44,0,0,0
6/15/2000,6,2000,21.6,14.4,14.4,7.2,14.4,7.2,7.2,7.2,0,7.2,7.2,7.2,7.2,7.2,7.2,14.4,14.4,7.2,0,0,0
7/15/2000,7,2000,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2000,8,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2000,9,2000,57.6,28.8,7.2,7.2,7.2,7.2,7.2,7.2,0,0,7.2,7.2,7.2,0,0,7.2,7.2,0,0,0,0
10/15/2000,10,2000,111.6,96.72,74.4,81.84,104.16,66.96,74.4,81.84,66.96,74.4,89.28,96.72,74.4,44.64,44.64,66.96,66.96,44.64,14.88,14.88,14.88
11/15/2000,11,2000,50.4,50.4,36,36,57.6,21.6,21.6,21.6,21.6,14.4,14.4,7.2,7.2,7.2,0,7.2,7.2,0,0,0,7.2
12/15/2000,12,2000,66.96,52.08,37.2,29.76,59.52,22.32,22.32,22.32,14.88,7.44,14.88,7.44,7.44,7.44,0,0,0,7.44,0,7.44,7.44
1/15/2001,1,2001,178.56,171.12,156.24,141.36,193.44,96.72,104.16,96.72,81.84,89.28,104.16,104.16,96.72,74.4,66.96,89.28,81.84,66.96,59.52,52.08,66.96
2/15/2001,2,2001,215.04,188.16,161.28,168,228.48,134.4,134.4,120.96,107.52,80.64,87.36,73.92,73.92,67.2,67.2,80.64,80.64,73.92,73.92,67.2,80.64
3/15/2001,3,2001,81.84,89.28,81.84,66.96,81.84,52.08,52.08,52.08,44.64,52.08,52.08,52.08,52.08,52.08,29.76,37.2,29.76,22.32,29.76,14.88,29.76
4/15/2001,4,2001,79.2,64.8,36,50.4,72,36,50.4,57.6,36,36,50.4,50.4,43.2,21.6,36,64.8,64.8,50.4,21.6,28.8,28.8
5/15/2001,5,2001,0,0,0,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/15/2001,6,2001,28.8,21.6,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2001,7,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2001,8,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2001,9,2001,21.6,14.4,7.2,7.2,7.2,7.2,7.2,7.2,7.2,0,7.2,0,0,0,0,0,0,0,0,0,0
10/15/2001,10,2001,37.2,37.2,29.76,22.32,44.64,14.88,14.88,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,14.88,7.44,7.44,7.44,7.44,7.44
11/15/2001,11,2001,252,216,172.8,129.6,194.4,93.6,86.4,86.4,72,57.6,79.2,79.2,72,43.2,43.2,72,64.8,50.4,28.8,28.8,36
12/15/2001,12,2001,319.92,275.28,238.08,252.96,327.36,200.88,208.32,186,171.12,119.04,156.24,141.36,111.6,59.52,59.52,111.6,104.16,74.4,29.76,37.2,37.2
1/15/2002,1,2002,141.36,133.92,111.6,96.72,148.8,59.52,66.96,52.08,44.64,37.2,52.08,44.64,37.2,14.88,22.32,37.2,37.2,22.32,14.88,14.88,14.88
2/15/2002,2,2002,87.36,60.48,33.6,40.32,67.2,26.88,33.6,40.32,26.88,20.16,33.6,26.88,20.16,6.72,6.72,13.44,13.44,6.72,0,0,6.72
3/15/2002,3,2002,66.96,66.96,52.08,81.84,119.04,59.52,81.84,89.28,59.52,44.64,66.96,52.08,44.64,22.32,22.32,44.64,44.64,29.76,7.44,14.88,14.88
4/15/2002,4,2002,43.2,28.8,14.4,14.4,28.8,7.2,7.2,14.4,7.2,7.2,7.2,7.2,7.2,7.2,14.4,14.4,14.4,14.4,21.6,21.6,14.4
5/15/2002,5,2002,37.2,29.76,29.76,37.2,52.08,29.76,37.2,37.2,22.32,14.88,22.32,22.32,14.88,7.44,7.44,14.88,14.88,7.44,0,7.44,7.44
6/15/2002,6,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2002,7,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2002,8,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2002,9,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2002,10,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/15/2002,11,2002,115.2,100.8,86.4,72,108,57.6,64.8,72,57.6,64.8,79.2,79.2,72,43.2,43.2,72,64.8,57.6,28.8,36,50.4
12/15/2002,12,2002,513.36,431.52,334.8,319.92,476.16,230.64,223.2,186,186,141.36,171.12,148.8,119.04,89.28,66.96,96.72,81.84,59.52,44.64,37.2,52.08
1/15/2003,1,2003,186,156.24,104.16,89.28,156.24,44.64,52.08,29.76,29.76,22.32,22.32,22.32,14.88,7.44,7.44,7.44,7.44,7.44,0,0,0
2/15/2003,2,2003,67.2,67.2,60.48,53.76,80.64,33.6,40.32,40.32,33.6,33.6,33.6,26.88,33.6,40.32,40.32,47.04,47.04,47.04,40.32,47.04,60.48
3/15/2003,3,2003,126.48,111.6,74.4,74.4,104.16,52.08,66.96,59.52,44.64,29.76,44.64,37.2,29.76,22.32,22.32,37.2,37.2,29.76,14.88,14.88,22.32
4/15/2003,4,2003,208.8,180,129.6,136.8,208.8,93.6,115.2,115.2,79.2,64.8,93.6,79.2,72,36,43.2,72,72,50.4,28.8,36,36
5/15/2003,5,2003,37.2,44.64,44.64,37.2,59.52,22.32,29.76,29.76,22.32,22.32,22.32,22.32,29.76,29.76,22.32,37.2,37.2,22.32,14.88,14.88,14.88
6/15/2003,6,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2003,7,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,7.44
8/15/2003,8,2003,22.32,22.32,14.88,14.88,22.32,7.44,14.88,14.88,7.44,7.44,14.88,14.88,7.44,0,0,0,0,0,0,7.44,7.44
9/15/2003,9,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2003,10,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/15/2003,11,2003,158.4,129.6,93.6,72,100.8,43.2,50.4,50.4,43.2,28.8,43.2,28.8,21.6,7.2,14.4,21.6,21.6,14.4,14.4,14.4,14.4
12/15/2003,12,2003,342.24,319.92,282.72,223.2,327.36,156.24,156.24,156.24,126.48,111.6,141.36,133.92,111.6,66.96,59.52,104.16,89.28,66.96,37.2,44.64,44.64
1/15/2004,1,2004,126.48,119.04,96.72,96.72,141.36,66.96,74.4,59.52,59.52,44.64,52.08,44.64,37.2,22.32,22.32,37.2,37.2,29.76,14.88,14.88,14.88
2/15/2004,2,2004,341.04,285.36,222.72,201.84,278.4,153.12,160.08,139.2,125.28,104.4,118.32,111.36,97.44,83.52,69.6,90.48,83.52,69.6,48.72,48.72,69.6
3/15/2004,3,2004,44.64,44.64,37.2,29.76,44.64,14.88,22.32,22.32,14.88,14.88,22.32,22.32,14.88,0,7.44,22.32,22.32,14.88,0,7.44,7.44
4/15/2004,4,2004,50.4,28.8,14.4,14.4,21.6,7.2,7.2,7.2,7.2,0,0,0,0,0,0,7.2,7.2,0,0,0,0
5/15/2004,5,2004,22.32,22.32,7.44,7.44,14.88,0,7.44,7.44,0,0,7.44,7.44,7.44,0,0,7.44,0,0,0,0,0
6/15/2004,6,2004,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2004,7,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2004,8,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2004,9,2004,0,0,0,0,0,7.2,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2004,10,2004,126.48,126.48,104.16,104.16,148.8,74.4,89.28,96.72,74.4,81.84,104.16,111.6,104.16,74.4,59.52,89.28,81.84,59.52,44.64,37.2,52.08
11/15/2004,11,2004,64.8,64.8,64.8,64.8,50.4,64.8,72,64.8,57.6,28.8,43.2,43.2,28.8,14.4,14.4,21.6,21.6,14.4,7.2,7.2,7.2
12/15/2004,12,2004,282.72,252.96,223.2,178.56,245.52,133.92,126.48,126.48,111.6,111.6,126.48,119.04,111.6,96.72,66.96,89.28,74.4,59.52,52.08,37.2,66.96
1/15/2005,1,2005,171.12,178.56,171.12,148.8,186,111.6,133.92,148.8,104.16,104.16,141.36,148.8,141.36,81.84,81.84,126.48,111.6,89.28,74.4,66.96,111.6
2/15/2005,2,2005,107.52,100.8,100.8,80.64,94.08,80.64,73.92,94.08,87.36,100.8,94.08,94.08,87.36,94.08,60.48,73.92,67.2,53.76,40.32,33.6,67.2
3/15/2005,3,2005,156.24,148.8,126.48,119.04,171.12,89.28,104.16,119.04,81.84,81.84,111.6,111.6,96.72,44.64,59.52,96.72,89.28,66.96,37.2,37.2,37.2
4/15/2005,4,2005,86.4,72,50.4,50.4,64.8,36,43.2,43.2,36,36,36,28.8,28.8,28.8,21.6,28.8,28.8,21.6,21.6,21.6,28.8
5/15/2005,5,2005,186,148.8,104.16,81.84,148.8,44.64,52.08,44.64,29.76,29.76,44.64,52.08,52.08,37.2,44.64,66.96,66.96,44.64,29.76,29.76,29.76
6/15/2005,6,2005,43.2,43.2,28.8,28.8,50.4,14.4,21.6,21.6,14.4,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0
7/15/2005,7,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2005,8,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2005,9,2005,0,0,0,0,0,0,0,7.2,0,0,7.2,7.2,7.2,0,0,0,0,0,0,0,7.2
10/15/2005,10,2005,14.88,22.32,22.32,14.88,37.2,7.44,7.44,7.44,0,0,7.44,7.44,7.44,0,7.44,0,0,7.44,14.88,14.88,22.32
11/15/2005,11,2005,165.6,136.8,93.6,64.8,108,36,43.2,28.8,21.6,7.2,14.4,7.2,7.2,0,0,7.2,7.2,7.2,7.2,0,7.2
12/15/2005,12,2005,461.28,453.84,401.76,386.88,543.12,275.28,305.04,245.52,200.88,119.04,178.56,156.24,119.04,52.08,44.64,96.72,81.84,52.08,22.32,29.76,29.76
1/15/2006,1,2006,238.08,200.88,141.36,133.92,215.76,89.28,104.16,111.6,81.84,89.28,111.6,104.16,104.16,89.28,89.28,126.48,126.48,96.72,52.08,44.64,52.08
2/15/2006,2,2006,147.84,134.4,107.52,87.36,134.4,53.76,60.48,53.76,47.04,33.6,40.32,33.6,26.88,20.16,13.44,33.6,26.88,20.16,6.72,6.72,13.44
3/15/2006,3,2006,267.84,260.4,230.64,223.2,334.8,163.68,178.56,178.56,141.36,119.04,156.24,148.8,126.48,89.28,89.28,141.36,133.92,96.72,52.08,59.52,59.52
4/15/2006,4,2006,237.6,216,172.8,165.6,244.8,122.4,144,151.2,100.8,86.4,129.6,122.4,108,43.2,93.6,158.4,158.4,100.8,57.6,50.4,50.4
5/15/2006,5,2006,66.96,44.64,22.32,22.32,29.76,14.88,22.32,22.32,14.88,22.32,29.76,29.76,29.76,29.76,14.88,22.32,14.88,7.44,7.44,7.44,7.44
6/15/2006,6,2006,14.4,7.2,7.2,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2006,7,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2006,8,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2006,9,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2006,10,2006,0,7.44,7.44,0,0,7.44,0,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,14.88,14.88,7.44
11/15/2006,11,2006,122.4,100.8,72,64.8,93.6,43.2,43.2,43.2,36,21.6,36,28.8,14.4,7.2,0,7.2,7.2,0,0,0,0
12/15/2006,12,2006,200.88,178.56,141.36,126.48,193.44,81.84,89.28,81.84,66.96,59.52,74.4,74.4,59.52,29.76,29.76,52.08,44.64,37.2,14.88,22.32,29.76
1/15/2007,1,2007,22.32,22.32,14.88,7.44,22.32,0,7.44,14.88,7.44,22.32,22.32,22.32,14.88,14.88,14.88,14.88,14.88,14.88,7.44,7.44,14.88
2/15/2007,2,2007,215.04,208.32,174.72,174.72,262.08,120.96,141.12,134.4,107.52,80.64,114.24,94.08,73.92,33.6,40.32,73.92,73.92,53.76,26.88,26.88,33.6
3/15/2007,3,2007,7.44,14.88,14.88,7.44,22.32,0,7.44,7.44,7.44,7.44,14.88,14.88,7.44,0,14.88,22.32,22.32,22.32,7.44,14.88,7.44
4/15/2007,4,2007,64.8,64.8,57.6,57.6,72,43.2,50.4,43.2,36,21.6,36,28.8,21.6,14.4,14.4,14.4,14.4,14.4,7.2,14.4,14.4
5/15/2007,5,2007,22.32,14.88,14.88,14.88,22.32,7.44,14.88,7.44,7.44,0,7.44,7.44,7.44,0,0,0,0,0,0,0,0
6/15/2007,6,2007,7.2,7.2,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2007,7,2007,22.32,14.88,7.44,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2007,8,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2007,9,2007,7.2,14.4,7.2,7.2,21.6,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,0,7.2,7.2
10/15/2007,10,2007,89.28,66.96,44.64,44.64,59.52,37.2,37.2,29.76,29.76,22.32,29.76,29.76,22.32,14.88,14.88,14.88,14.88,14.88,7.44,7.44,7.44
11/15/2007,11,2007,28.8,14.4,7.2,7.2,0,21.6,14.4,21.6,14.4,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0
12/15/2007,12,2007,156.24,163.68,148.8,133.92,186,96.72,111.6,96.72,66.96,52.08,81.84,81.84,66.96,37.2,44.64,59.52,66.96,52.08,22.32,22.32,22.32
1/15/2008,1,2008,275.28,282.72,290.16,252.96,275.28,223.2,208.32,186,178.56,133.92,156.24,156.24,141.36,96.72,81.84,119.04,111.6,81.84,59.52,52.08,66.96
2/15/2008,2,2008,90.48,83.52,69.6,62.64,90.48,55.68,55.68,62.64,55.68,48.72,62.64,62.64,55.68,34.8,34.8,62.64,62.64,48.72,20.88,20.88,27.84
3/15/2008,3,2008,37.2,29.76,22.32,22.32,44.64,22.32,14.88,22.32,14.88,7.44,14.88,14.88,14.88,7.44,7.44,14.88,14.88,7.44,0,0,7.44
